time,price,size
1725261306528,188950,1
1725261306528,188950,1
1725261309569,188970,2
1725261309569,188970,2
1725261310032,188960,1
1725261310032,188960,1
1725261310532,188980,3
1725261310532,188980,3
1725261311374,189010,1
1725261311374,189010,1
1725261311533,189000,2
1725261311533,189000,2
1725261312373,189000,1
1725261314790,188990,1
1725261316377,189000,1
1725261322048,188950,2
1725261322048,188950,2
1725261322800,188950,1
1725261323050,188940,1
1725261324183,188930,1
1725261325056,188950,1
1725261329396,188920,4
1725261329396,188920,4
1725261330057,188920,1
1725261332063,188930,1
1725261336334,188940,1
1725261337068,188950,2
1725261337068,188950,2
1725261339411,188950,1
1725261341413,188940,1
1725261341828,188930,2
1725261341828,188930,2
1725261342574,188930,1
1725261344077,188920,3
1725261344077,188920,3
1725261344577,188930,1
1725261344577,188930,1
1725261345078,188920,1
1725261349082,188910,1
1725261349427,188920,2
1725261349427,188920,2
1725261349583,188910,2
1725261351084,188930,1
1725261351084,188930,1
1725261356841,188920,2
1725261356841,188920,2
1725261360096,188920,1
1725261360847,188870,2
1725261360847,188870,2
1725261361099,188850,1
1725261361099,188850,1
1725261361437,188870,1
1725261361847,188890,1
1725261362438,188880,1
1725261363101,188870,2
1725261363101,188870,2
1725261363691,188850,3
1725261363691,188850,3
1725261365441,188880,1
1725261365441,188880,1
1725261366103,188860,1
1725261368106,188830,1
1725261368448,188860,1
1725261369858,188840,1
1725261372451,188850,1
1725261372867,188860,1
1725261373863,188850,1
1725261375616,188860,2
1725261375616,188860,2
1725261375868,188870,1
1725261375868,188870,1
1725261376617,188870,2
1725261378619,188900,1
1725261378620,188900,1
1725261380460,188910,1
1725261380872,188900,1
1725261382877,188910,5
1725261382877,188910,5
1725261383125,188870,1
1725261383125,188870,1
1725261384468,188860,2
1725261384468,188860,2
1725261385127,188860,1
1725261386471,188850,1
1725261387467,188850,2
1725261389633,188840,1
1725261389633,188840,1
1725261398147,188830,1
1725261406153,188820,1
1725261406657,188830,1
1725261407908,188820,1
1725261408913,188800,1
1725261409908,188810,1
1725261410248,188800,1
1725261410498,188810,2
1725261410498,188810,2
1725261411248,188820,1
1725261411248,188820,1
1725261412252,188830,1
1725261412912,188830,3
1725261413915,188810,1
1725261413915,188810,1
1725261417481,188790,1
1725261420264,188800,4
1725261420264,188800,4
1725261420923,188780,3
1725261420923,188780,3
1725261421512,188770,4
1725261421512,188770,4
1725261421675,188770,1
1725261421924,188790,6
1725261421924,188790,6
1725261422678,188760,1
1725261422678,188760,1
1725261423764,188770,1
1725261424678,188750,2
1725261424679,188750,2
1725261424931,188760,1
1725261424931,188760,1
1725261425182,188750,1
1725261426433,188740,1
1725261426932,188750,1
1725261429274,188760,1
1725261429685,188750,3
1725261429685,188750,3
1725261429936,188730,1
1725261429936,188730,1
1725261430689,188720,1
1725261431527,188720,3
